	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
mar														Mother's Marital Status U;R	Mother's Marital Status U;R	Mother's Marital Status U;R	Mother's Marital Status U;R	Mother's Marital Status U;R	Mother's Marital Status U;R	Mother's Marital Status U;R	Mother's Marital Status U;R	Mother's Marital Status U;R	Mother's Marital Status U;R	Mother's Marital Status U;R					
mar_imp														Mother's Marital Status Imputed Flag U;R	Mother's Marital Status Imputed Flag U;R	Mother's Marital Status Imputed Flag U;R	Mother's Marital Status Imputed Flag U;R	Mother's Marital Status Imputed Flag U;R	Mother's Marital Status Imputed Flag U;R	Mother's Marital Status Imputed Flag U;R	Mother's Marital Status Imputed Flag U;R	Mother's Marital Status Imputed Flag U;R	Mother's Marital Status Imputed Flag U;R	Mother's Marital Status Imputed Flag U;R	Mother's Marital Status Imputed Blank Marital Status not imputed	Mother's Marital Status Imputed Blank Marital Status not imputed	Mother's Marital Status Imputed Blank Marital Status not imputed	Mother's Marital Status Imputed Blank Marital Status not imputed	Mother's Marital Status Imputed Blank Marital Status not imputed
mar_p																													
mbcntry																													
mbrace														Mother's Bridged Race** R***	Mother's Bridged Race** R***	Mother's Bridged Race** R***	Mother's Bridged Race** R***	Mother's Bridged Race** R***	Mother's Bridged Race** R***	Mother's Bridged Race** R***	Mother's Bridged Race** R***	Mother's Bridged Race** R***	Mother's Bridged Race** R***	Mother's Bridged Race** R***	Bridged Race Mother	Bridged Race Mother	Bridged Race Mother	Bridged Race Mother	Bridged Race Mother
mbstate_rec														Mother's Birth State Recode U;R	Mother's Birth State Recode U;R										Mother's Nativity 1 Born in the U.S. (50 US States)	Mother's Nativity 1 Born in the U.S. (50 US States)	Mother's Nativity 1 Born in the U.S. (50 US States)	Mother's Nativity 1 Born in the U.S. (50 US States)	Mother's Nativity 1 Born in the U.S. (50 US States)
me_attf															_md_attfor R		_md_attfor R	_md_attfor R	_md_attfor R										
me_attv															_md_attvac R		_md_attvac R	_md_attvac R	_md_attvac R										
me_pres															_md_present R		_md_present R	_md_present R	_md_present R	_md_present R	_md_present R	_md_present R	_md_present R	_md_present R					
me_rout															Delivery RFP 620=f_md_route R		Delivery RFP 620=f_md_route R	Delivery RFP 620=f_md_route R	Delivery RFP 620=f_md_route R	Delivery RFP 620=f_md_route R	Delivery RFP 620=f_md_route R	Delivery RFP 620=f_md_route R	Delivery RFP 620=f_md_route R	Delivery RFP 620=f_md_route R	Delivery 1 Spontaneous	Delivery 1 Spontaneous	Delivery 1 Spontaneous	Delivery 1 Spontaneous	Delivery 1 Spontaneous
me_trial															Labor Attempted RFP 621=f_md_trial R		Labor Attempted RFP 621=f_md_trial R	Labor Attempted RFP 621=f_md_trial R	Labor Attempted RFP 621=f_md_trial R	Labor Attempted RFP 621=f_md_trial R	Labor Attempted RFP 621=f_md_trial R	Labor Attempted RFP 621=f_md_trial R	Labor Attempted RFP 621=f_md_trial R	Labor Attempted RFP 621=f_md_trial R	Labor Attempted (if cesarean) Y Yes	Labor Attempted (if cesarean) Y Yes	Labor Attempted (if cesarean) Y Yes	Labor Attempted (if cesarean) Y Yes	Labor Attempted (if cesarean) Y Yes
meconium	Meconium - moderate/heavy	Meconium - moderate/heavy	Meconium - moderate/heavy	Meconium - moderate/heavy	Meconium - moderate/heavy	Meconium - moderate/heavy	Meconium - moderate/heavy	Meconium - moderate/heavy	Meconium - moderate/heavy	Meconium - moderate/heavy	Meconium - moderate/heavy	Meconium - moderate/heavy	Meconium - moderate/heavy																
meconsyn	Meconium aspiration syndrome	Meconium aspiration syndrome	Meconium aspiration syndrome	Meconium aspiration syndrome	Meconium aspiration syndrome	Meconium aspiration syndrome	Meconium aspiration syndrome	Meconium aspiration syndrome	Meconium aspiration syndrome	Meconium aspiration syndrome	Meconium aspiration syndrome	Meconium aspiration syndrome	Meconium aspiration syndrome																
medrsk	Medical risk factors	Medical risk factors	Medical risk factors	Medical risk factors	Medical risk factors	Medical risk factors	Medical risk factors	Medical risk factors	Medical risk factors	Medical risk factors	Medical risk factors	Medical risk factors	Medical risk factors																
meduc														Mother's Education R	Mother's Education R	Mother's Education RFP 571=f_meduc R	Mother's Education RFP 571=f_meduc R	Mother's Education RFP 571=f_meduc R	Mother's Education RFP 571=f_meduc R	Mother's Education RFP 571=f_meduc R	Mother's Education RFP 571=f_meduc R	Mother's Education RFP 571=f_meduc R	Mother's Education RFP 571=f_meduc R	Mother's Education RFP 571=f_meduc R	Mother's Education 1 8th grade or less	Mother's Education 1 8th grade or less	Mother's Education 1 8th grade or less	Mother's Education 1 8th grade or less	Mother's Education 1 8th grade or less
meduc6	Education of Mother Recode	Education of Mother Recode	Education of Mother Recode	Education of Mother Recode	Education of Mother Recode	Education of Mother Recode	Education of Mother Recode	Education of Mother Recode	Education of Mother Recode	Education of Mother Recode	Education of Mother Recode	Education of Mother Recode	Education of Mother Recode																
meduc_rec														Mother's Education Recode RFP 647=f_med U	Mother's Education Recode RFP 647=f_med U	Mother's Education Recode RFP 647=f_med U	Mother's Education Recode RFP 647=f_med U	Mother's Education Recode RFP 647=f_med U	Mother's Education Recode RFP 647=f_med U										
metrores	residence	residence	residence	residence	residence	residence	residence	residence	residence	residence	residence	Residence	Residence																
mhisp_r																									Mother's Hispanic Origin Recode 0 Non-Hispanic	Mother's Hispanic Origin Recode 0 Non-Hispanic	Mother's Hispanic Origin Recode 0 Non-Hispanic	Mother's Hispanic Origin Recode 0 Non-Hispanic	Mother's Hispanic Origin Recode 0 Non-Hispanic
microce	Microcephalus	Microcephalus	Microcephalus	Microcephalus	Microcephalus	Microcephalus	Microcephalus	Microcephalus	Microcephalus	Microcephalus	Microcephalus	Microcephalus	Microcephalus																
mm_aicu																													
mm_icu																				_mm_icu R	_mm_icu R	_mm_icu R	_mm_icu R	_mm_icu R					
mm_mtr																				usion 622=f_mm_mtrans R	usion 622=f_mm_mtrans R	usion 622=f_mm_mtrans R	usion 622=f_mm_mtrans R	usion 622=f_mm_mtrans R	usion Y Yes	usion Y Yes	usion Y Yes	usion Y Yes	usion Y Yes
mm_plac																				_mm_lacer R	_mm_lacer R	_mm_lacer R	_mm_lacer R	_mm_lacer R					
mm_rupt																				_mm_ruptur R	_mm_ruptur R	_mm_ruptur R	_mm_ruptur R	_mm_ruptur R					
mm_uhyst																				_mm_uhystr R	_mm_uhystr R	_mm_uhystr R	_mm_uhystr R	_mm_uhystr R					
mm_uoper																				_mm_or R	_mm_or R	_mm_or R	_mm_or R	_mm_or R					
monitor	Electronic fetal monitoring	Electronic fetal monitoring	Electronic fetal monitoring	Electronic fetal monitoring	Electronic fetal monitoring	Electronic fetal monitoring	Electronic fetal monitoring	Electronic fetal monitoring	Electronic fetal monitoring	Electronic fetal monitoring	Electronic fetal monitoring	Electronic fetal monitoring	Electronic fetal monitoring																
monpre	Detail Month of Pregnancy Prenatal Care Began	Detail Month of Pregnancy Prenatal Care Began	Detail Month of Pregnancy Prenatal Care Began	Detail Month of Pregnancy Prenatal Care Began	Detail Month of Pregnancy Prenatal Care Began	Detail Month of Pregnancy Prenatal Care Began	Detail Month of Pregnancy Prenatal Care Began	Detail Month of Pregnancy Prenatal Care Began	Detail Month of Pregnancy Prenatal Care Began	Detail Month of Pregnancy Prenatal Care Began	Detail Month of Pregnancy Prenatal Care Began	Detail Month of Pregnancy Prenatal Care Began	Detail Month of Pregnancy Prenatal Care Began																
mpcb														Month Prenatal Care Began U	Month Prenatal Care Began U	Month Prenatal Care Began RFP 669=f_mpcb_u U	Month Prenatal Care Began RFP 669=f_mpcb_u U	Month Prenatal Care Began RFP 669=f_mpcb_u U	Month Prenatal Care Began RFP 669=f_mpcb_u U	Month Prenatal Care Began RFP 669=f_mpcb_u U	Month Prenatal Care Began RFP 669=f_mpcb_u U								
mpcb_rec5														Month Prenatal Care Began Recode 5 U	Month Prenatal Care Began Recode 5 U	Month Prenatal Care Began Recode 5 RFP 669=f_mpcb_u U	Month Prenatal Care Began Recode 5 RFP 669=f_mpcb_u U	Month Prenatal Care Began Recode 5 RFP 669=f_mpcb_u U	Month Prenatal Care Began Recode 5 RFP 669=f_mpcb_u U	Month Prenatal Care Began Recode 5 RFP 669=f_mpcb_u U	Month Prenatal Care Began Recode 5 RFP 669=f_mpcb_u U								
mpcb_rec6														Month Prenatal Care Began Recode 6 U	Month Prenatal Care Began Recode 6 U	Month Prenatal Care Began Recode 6 RFP 669=f_mpcb_u U	Month Prenatal Care Began Recode 6 RFP 669=f_mpcb_u U	Month Prenatal Care Began Recode 6 RFP 669=f_mpcb_u U	Month Prenatal Care Began Recode 6 RFP 669=f_mpcb_u U										
mplbir	Place of Birth of Mother	Place of Birth of Mother	Place of Birth of Mother	Place of Birth of Mother	Place of Birth of Mother	Place of Birth of Mother	Place of Birth of Mother	Place of Birth of Mother	Place of Birth of Mother	Place of Birth of Mother	Place of Birth of Mother	Place of Birth of Mother	Place of Birth of Mother																
mplbirr	Place of Birth of Mother Recode	Place of Birth of Mother Recode	Place of Birth of Mother Recode	Place of Birth of Mother Recode	Place of Birth of Mother Recode	Place of Birth of Mother Recode	Place of Birth of Mother Recode	Place of Birth of Mother Recode	Place of Birth of Mother Recode	Place of Birth of Mother Recode	Place of Birth of Mother Recode	Place of Birth of Mother Recode	Place of Birth of Mother Recode																
mpre5	Month Prenatal Care Began Recode 5	Month Prenatal Care Began Recode 5	Month Prenatal Care Began Recode 5	Month Prenatal Care Began Recode 5	Month Prenatal Care Began Recode 5	Month Prenatal Care Began Recode 5	Month Prenatal Care Began Recode 5	Month Prenatal Care Began Recode 5	Month Prenatal Care Began Recode 5	Month Prenatal Care Began Recode 5	Month Prenatal Care Began Recode 5	Month Prenatal Care Began Recode 5	Month Prenatal Care Began Recode 5																
mpre6	Month Prenatal Care Began Recode 6	Month Prenatal Care Began Recode 6	Month Prenatal Care Began Recode 6	Month Prenatal Care Began Recode 6	Month Prenatal Care Began Recode 6	Month Prenatal Care Began Recode 6	Month Prenatal Care Began Recode 6	Month Prenatal Care Began Recode 6	Month Prenatal Care Began Recode 6	Month Prenatal Care Began Recode 6	Month Prenatal Care Began Recode 6	Month Prenatal Care Began Recode 6	Month Prenatal Care Began Recode 6																
mrace	Race of Mother	Race of Mother	Race of Mother (Codes 18-68 and 78 are new)	Race of Mother	Race of Mother	Race of Mother	Race of Mother	Race of Mother	Race of Mother	Race of Mother	Race of Mother	Race of Mother	Race of Mother	Mother's Race U	Mother's Race U	Mother's Race U	Mother's Race U	Mother's Race U	Mother's Race U	Mother's Race U	Mother's Race U	Mother's Race U	Mother's Race U	Mother's Race U					
mrace15																									Mother's Race Recode 15	Mother's Race Recode 15	Mother's Race Recode 15	Mother's Race Recode 15	Mother's Race Recode 15
mrace1e																													
mrace2e																													
mrace3	Race of Mother Recode	Race of Mother Recode	Race of Mother Recode	Race of Mother Recode	Race of Mother Recode	Race of Mother Recode	Race of Mother Recode	Race of Mother Recode	Race of Mother Recode	Race of Mother Recode	Race of Mother Recode	Race of Mother Recode	Race of Mother Recode																
mrace31																									Mother's Race Recode 31	Mother's Race Recode 31	Mother's Race Recode 31	Mother's Race Recode 31	Mother's Race Recode 31
mrace3e																													
mrace4e																													
mrace5e																													
mrace6																									Mother's Race Recode 6	Mother's Race Recode 6	Mother's Race Recode 6	Mother's Race Recode 6	Mother's Race Recode 6
mrace6e																													
mrace7e																													
mrace8e																													
mracehisp														Mother's Race/Hispanic Origin U;R	Mother's Race/Hispanic Origin U;R	Mother's Race/Hispanic Origin RFP 569=f_morigin U;R	Mother's Race/Hispanic Origin RFP 569=f_morigin  U;R	Mother's Race/Hispanic Origin RFP 569=f_morigin  U;R	Mother's Race/Hispanic Origin RFP 569=f_morigin  U;R	Mother's Race/Hispanic Origin RFP 569=f_morigin  U;R	Mother's Race/Hispanic Origin RFP 569=f_morigin  U;R	Mother's Race/Hispanic Origin RFP 569=f_morigin  U;R	Mother's Race/Hispanic Origin RFP 569=f_morigin  U;R	Mother's Race/Hispanic Origin RFP 569=f_morigin  U;R	Mother's Race/Hispanic Origin 1 Non-Hispanic White (only)	Mother's Race/Hispanic Origin 1 Non-Hispanic White (only)	Mother's Race/Hispanic Origin 1 Non-Hispanic White (only)	Mother's Race/Hispanic Origin 1 Non-Hispanic White (only)	Mother's Race/Hispanic Origin 1 Non-Hispanic White (only)
mraceimp	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag																
mracerec														Mother's Race Recode U;R	Mother's Race Recode U;R	Mother's Race Recode U;R	Mother's Race Recode U;R	Mother's Race Recode U;R	Mother's Race Recode U;R	Mother's Race Recode U;R	Mother's Race Recode U;R	Mother's Race Recode U;R	Mother's Race Recode U;R	Mother's Race Recode U;R					
mrcityfips														Mother's Place of Residence (FIPS) U;R	Mother's Place of Residence (FIPS) U;R														
mrcnty																		Mother's County of Residence U;R	Mother's County of Residence U;R	Mother's County of Residence U;R	Mother's County of Residence U;R	Mother's County of Residence U;R	Mother's County of Residence U;R	Mother's County of Residence U;R					
mrcntyfips														Mother's County of Residence (FIPS) U;R	Mother's County of Residence (FIPS) U;R														
mrstate																													
mrterr																													
msa														Metropolitan Statistical Area U;R	Metropolitan Statistical Area U;R														
msa_pop														Statistical Area U;R	Statistical Area U;R														
mtran																				erred RFP 571=? R	erred RFP 571=? R	erred RFP 571=? R	erred RFP 571=? R	erred RFP 571=? R	erred Y Yes	erred Y Yes	erred Y Yes	erred Y Yes	erred Y Yes
musculo	Other musculoskeletal/integumental anomalies	Other musculoskeletal/integumental anomalies	Other musculoskeletal/integumental anomalies	Other musculoskeletal/integumental anomalies	Other musculoskeletal/integumental anomalies	Other musculoskeletal/integumental anomalies	Other musculoskeletal/integumental anomalies	Other musculoskeletal/integumental anomalies	Other musculoskeletal/integumental anomalies	Other musculoskeletal/integumental anomalies	Other musculoskeletal/integumental anomalies	Other musculoskeletal/integumental anomalies	Other musculoskeletal/integumental anomalies																
nanemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia (Hct.&lt;39/Hgb.&lt;13)	Anemia (Hct.&lt;39/Hgb.&lt;13)																
nervous	Other central nervous system anomalies	Other central nervous system anomalies	Other central nervous system anomalies	Other central nervous system anomalies	Other central nervous system anomalies	Other central nervous system anomalies	Other central nervous system anomalies	Other central nervous system anomalies	Other central nervous system anomalies	Other central nervous system anomalies	Other central nervous system anomalies	Other central nervous system anomalies	Other central nervous system anomalies																
